gid,name,plz,stadt,strasse,hausnr,hnr_zusatz,familienze,staedtisch,gc_xwert,gc_ywert,gid_2,wahlbez_nr,wahlbezirk,landtagswa,flaeche
152,städt. KiTa Stadtheider Straße,33609.000000000000000,Bielefeld,Stadtheider Straße,10.000000000000000,a,x,x,469358.788029999996070,5765324.941359999589622,15,"7",Nordpark,"92",2261251.042179970070720
211,Kita Werksgarten,33611.000000000000000,Bielefeld,Brüggemannstraße,9.000000000000000,,,,,,15,"7",Nordpark,"92",2261251.042179970070720
53,Evangelische Kindertageseinrichtung Babenhausen,33619.000000000000000,Bielefeld,Babenhauser Straße,151.000000000000000,,,,465233.313030000019353,5767681.524349999614060,16,"19",Niederdornberg,"94",16409951.736356901004910
105,Kita am Freibad Dornberg e.V.,33619.000000000000000,Bielefeld,Großdornberger Straße,9.000000000000000,,,,463672.406030000012834,5766047.145360000431538,16,"19",Niederdornberg,"94",16409951.736356901004910
150,städt. KiTa Schröttinghausen,33739.000000000000000,Bielefeld,Horstkotterheide,22.000000000000000,,,x,463674.394030000024941,5769582.467349999584258,16,"19",Niederdornberg,"94",16409951.736356901004910
15,AWO KiTa Obernfeld,33619.000000000000000,Bielefeld,Am Sportplatz,29.000000000000000,,,,462687.301029999973252,5766182.552360000088811,17,"18",Großdornberg,"94",12752353.610780999064445
42,Evangelischer Kindergarten Dornberg Spatzennest,33619.000000000000000,Bielefeld,Am Petersberg,19.000000000000000,,,,461379.366029999975581,5766155.583359999582171,17,"18",Großdornberg,"94",12752353.610780999064445
20,AWO KiTa und Familienzentrum Zehlendorfer Damm,33619.000000000000000,Bielefeld,Zehlendorfer Damm,54.000000000000000,,x,,464527.499029999948107,5765875.233359999954700,17,"18",Großdornberg,"94",12752353.610780999064445
65,Evangelische Kindertageseinrichtung Wellensiek,33619.000000000000000,Bielefeld,Wellensiek,44.000000000000000,a,,,464966.219029999978375,5765617.007360000163317,17,"18",Großdornberg,"94",12752353.610780999064445
72,Evangelisches Familienzentrum Hoberge-Uerentrup,33619.000000000000000,Bielefeld,Markuskirchweg,15.000000000000000,,x,,464358.794029999990016,5764280.924359998665750,17,"18",Großdornberg,"94",12752353.610780999064445
110,KiTa Peter Pan e.V.,33619.000000000000000,Bielefeld,Tegeler Weg,10.000000000000000,,,,465000.079030000022613,5766044.302360000088811,17,"18",Großdornberg,"94",12752353.610780999064445
182,"KiTa ""Hof Hallau""",33619.000000000000000,Bielefeld,Frohnauer Straße,14.000000000000000,,,,464810.925029999983963,5766326.003360000438988,17,"18",Großdornberg,"94",12752353.610780999064445
27,KiTa Die Kobolde,33607.000000000000000,Bielefeld,Kuckucksweg,47.000000000000000,,,,471460.923019999987446,5763316.523359999991953,18,"5",Stauteiche,"92",2617265.410271829925478
10,AWO KiTa Kleine Kampe,33607.000000000000000,Bielefeld,Auf dem Langen Kampe,73.000000000000000,a,x,,470464.444030000013299,5764266.828360000625253,18,"5",Stauteiche,"92",2617265.410271829925478
