X,Y,gid,name,plz,stadt,strasse,hausnr,hnr_zusatz,familienze,staedtisch,gc_xwert,gc_ywert,gid_2,statistische_raumeinheit_name,statist_raumeinheit_id,maennlich,weiblich,null_bis_unter_18,proz_0_bis_unter_18,gleich_18_bis_unter_65,proz_18_bis_unter_65,gleich_65_u_aelter,proz_65_u_aelter,durchschnittsalter,einw_ges,deutsch_ohne_migrationshintergrund,deutsch_mit_migrationshintergrund,auslaendisch,proz_hhmitkindern_an_allenhh,abs_bev_entwicklung_5jahre,proz_bev_entwicklung_5jahre
467071.80103,5766138.67536,99,Kath. Familienzentrum KiTa Christkönig,33613.000000000000000,Bielefeld,Weihestraße,5.000000000000000,,x,,467071.801029999973252,5766138.675359999760985,56,Stat. Raumeinheit 117,117,626,725,197,"14,6",823,"60,9",331,"24,5","47,2",1351,937,241,173,"15,8",-105,"-7,2"
466640.13303,5765505.36236,109,Montessori Kinderhaus Gellershagen,33613.000000000000000,Bielefeld,Kopernikusstraße,70.000000000000000,,,,466640.133030000026338,5765505.362359999679029,57,Stat. Raumeinheit 118,118,788,798,230,"14,5",1083,"68,3",273,"17,2","42,2",1586,945,327,314,"15,4",-13,"-0,8"
466769.61503,5765439.94836,131,städt. KiTa Gustav-Freytag-Straße,33613.000000000000000,Bielefeld,Gustav-Freytag-Straße,17.000000000000000,,,x,466769.615029999986291,5765439.948359999805689,57,Stat. Raumeinheit 118,118,788,798,230,"14,5",1083,"68,3",273,"17,2","42,2",1586,945,327,314,"15,4",-13,"-0,8"
466230.83203,5765009.18036,74,Ev. Bonhoeffer Beschäftigtenkita der Universität Bielefeld,33615.000000000000000,Bielefeld,Jakob-Kaiser-Straße,2.000000000000000,b,,,466230.832030000048690,5765009.180359999649227,58,Stat. Raumeinheit 119,119,1122,1247,336,"14,2",1543,"65,1",490,"20,7","43,4",2369,1541,490,338,"15,4",46,"2"
466322.45703,5765519.83936,127,städt. KiTa Bültmannshof,33615.000000000000000,Bielefeld,Schloßhofstraße,143.000000000000000,e,,x,466322.457029999990482,5765519.839359999634326,58,Stat. Raumeinheit 119,119,1122,1247,336,"14,2",1543,"65,1",490,"20,7","43,4",2369,1541,490,338,"15,4",46,"2"
465309.71203,5764991.74536,161,KiTa am Voltmannshof,33615.000000000000000,Bielefeld,Konsequenz,37.000000000000000,,,,465309.712029999995138,5764991.745360000059009,60,Stat. Raumeinheit 121,121,883,1097,173,"8,7",1598,"80,7",209,"10,6","33,7",1980,1250,291,439,"8,5",50,"2,6"
465532.91903,5765333.59236,162,KiTa Kinderzimmer,33615.000000000000000,Bielefeld,Universitätsstraße,19.000000000000000,,,,465532.919029999990016,5765333.592360000126064,60,Stat. Raumeinheit 121,121,883,1097,173,"8,7",1598,"80,7",209,"10,6","33,7",1980,1250,291,439,"8,5",50,"2,6"
465234.74403,5765019.11636,163,Uni-KiTa,33615.000000000000000,Bielefeld,Konsequenz,41.000000000000000,,,,465234.744030000001658,5765019.116360000334680,60,Stat. Raumeinheit 121,121,883,1097,173,"8,7",1598,"80,7",209,"10,6","33,7",1980,1250,291,439,"8,5",50,"2,6"
466794.46503,5763042.64836,178,KiTa Villa Kunterbunt e.V.,33617.000000000000000,Bielefeld,Johannistal,32.000000000000000,,,,466794.465030000021216,5763042.648359999991953,61,Stat. Raumeinheit 201,201,621,677,232,"17,9",794,"61,2",272,"21","43,8",1298,1028,156,114,"21,2",-2,"-0,2"
467933.39503,5762214.06436,103,KiTa Tausendfüßler e.V.,33617.000000000000000,Bielefeld,Am Obstgarten,6.000000000000000,,,,467933.395030000014231,5762214.064360000193119,63,Stat. Raumeinheit 203,203,728,822,184,"11,9",982,"63,4",384,"24,8","47",1550,1036,189,325,"13,3",-54,"-3,4"
468150.95903,5761430.70636,50,Ev. Kindertagesstätte und Familienzentrum Erdenreich,33617.000000000000000,Bielefeld,Bethelweg,84.000000000000000,,x,,468150.959030000027269,5761430.706360000185668,64,Stat. Raumeinheit 204,204,579,435,140,"13,8",697,"68,7",177,"17,5","43,5",1014,717,118,179,"11,8",14,"1,4"
